1 | Title | Definition | No
9693 | Title | Diagnosis | No
9694 | NarrativeText | The easiest way to determine if one has bad breath is to ask someone who is trustworthy and discrete. This is usually not too difficult. Another, more private, method of determining if one has bad breath is to lick one’s wrist, wait until it dries, then smell the area. Scraping the rear area of the tongue with a plastic spoon, then smelling the spoon, is another method one can use to assess bad breath. | No
9695 | Title | KEY TERMS | No
9696 | NarrativeText | Halitosis—The medical term for bad breath. | No
9697 | Title | Treatment | No
9698 | NarrativeText | The most effective treatment of bad breath is to treat the cause. Poor oral hygiene can be improved by regular brushing and flossing, as well as regular dental checkups. Gentle brushing of the tongue should be part of daily oral hygiene. In addition to good oral hygiene, the judicious use of mouthwashes is helpful. Mouth dryness, experi- enced at night or during fasting, or due to certain med- ications and medical conditions, can contribute to bad breath. Dryness can be avoided by drinking adequate amounts of water. Chewing gum may be beneficial. | No
9699 | NarrativeText | As mentioned, some medications, such as some high blood pressure medications, can cause dry mouth. If this problem is significant, a medication change, under the supervision of one’s health care provider, may improve the dry-mouth condition. Oral or sinus infections, once diagnosed, can be treated medically, usually with antibi- otics. Lung infections and kidney or liver problems will, of course, need medical treatment | No
9700 | Title | Alternative treatment | No
9701 | NarrativeText | Depending on the cause, a multitude of alternative therapeutic remedies can be used. For example, sinusitis can be treated with steam inhalation of essential oils and/or herbs. | No
9702 | Title | Prognosis | No
9703 | NarrativeText | Most bad breath can be treated successfully with good oral hygiene and/or medical care. Occasionally, for patients who feel that these therapies are unsuccessful, some delusional or obsessive behavior pattern might per- tain, and mental health counseling may be appropriate. | No
9704 | Title | Resources | No
9705 | Title | BOOKS | No
9706 | ListItem | Berkow, Robert, ed. The Merck Manual. 16th ed. Rahway, NJ: Merck Sharp & Dohme Research Laboratories, 1992. | No
9707 | Title | PERODCALS | No
9708 | NarrativeText | Rosenberg, M. “Clinical Assessment of Bad Breath.” Journal of the American Dental Association (Apr. 1996): 475-481. | No
9709 | Title | ORGANZATONS | No
9710 | NarrativeText | American Dental Association. 211 E. Chicago Ave., Chicago, IL 60611. (312) 440-2500. <http://www.ada.org>. | No
9711 | Title | tests | No
9712 | ListItem | American Medical Association. 515 N. State St., Chicago, IL 60612. (312) 464-5000. <http://www.ama-assn.org>. | No
9713 | NarrativeText | Joseph Knight, PA | No
9715 | Title | Definition | No
9716 | NarrativeText | Balance is the ability to maintain a position. Coordi- nation is the capacity to move through a complex set of movements. Balance and coordination depend on the interaction of multiple body organs and systems includ- ing the eyes, ears, brain and nervous system, cardiovas- cular system, and muscles. Tests or examination of any or all of these organs or systems may be necessary to determine the causes of loss of balance, dizziness, or the inability to coordinate movement or activities. | No
9717 | Title | Purpose | No
9718 | NarrativeText | Tests of balance and coordination, and the examina- tion of the organs and systems that influence balance and coordination, can help to identify causes of dizziness, fainting, falling, or incoordination. | No
9719 | Title | Precautions | No
9720 | NarrativeText | Tests for balance and coordination should be con- ducted in a safe and controlled area where patients will not experience injury if they become dizzy or fall. | No
9721 | Title | Description | No
9722 | NarrativeText | Assessment of balance and coordination can include discussion of the patient’s medical history and a com- plete physical examination including evaluation of the heart, head, eyes, and ears. A slow pulse or heart rate, or very low blood pressure may indicate a circulatory sys- tem problem, which can cause dizziness or fainting. Dur- ing the examination, the patient may be asked to rotate the head from side to side while sitting up or while lying down with the head and neck extended over the edge of the examination table. If these tests produce dizziness or a rapid twitching of the eyeballs (nystagmus), the patient may have a disorder of the inner ear, which is responsible for maintaining balance. | No
9723 | NarrativeText | An examination of the eyes and ears may also give clues to episodes of dizziness or incoordination. The patient may be asked to focus on a light or on a distant point or object, and to look up, down, left, and right mov- ing only the eyes while the eyes are examined. Problems | No
9724 | Title | 438 | No
9725 | NarrativeText | A patient sits on a ball, working on his balance. He wears a belt so that the physical therapist can catch him if he loses balance. (Custom Medical Stock Photo. Reproduced by permis- sion.) | No
9726 | NarrativeText | with vision may, in themselves, contribute to balance and coordination disturbances, or may indicate more serious problems of the nervous system or brain function. Hear- ing loss, fluid in the inner ear, or ear infection might indicate the cause of balance and coordination problems. | No
9727 | NarrativeText | Various physical tests may also be used. A patient may be asked to walk a straight line, stand on one foot, or touch a finger to the nose to help assess balance. The patient may be asked to squeeze or push against the doctor’s hands, to squat down, to bend over, stand on tiptoes or stand on their heels. Important aspects of these tests include holding positions for a certain num- ber of seconds, successfully repeating movements a certain number of times, and repeating the test accu- rately with eyes closed. The patient’s reflexes may also be tested. For example, the doctor may tap on the knees, ankles, and elbows with a small rubber mallet to test nervous system functioning. These tests may reveal | No
9728 | Title | KEY TERMS | No
9729 | NarrativeText | Meniere’s disease—An abnormality of the inner ear that causes dizziness, ringing in the ears, and hearing loss. | No
9730 | NarrativeText | muscle weakness or nervous system problems that could contribute to incoordination. | No
9731 | Title | Preparation | No
9732 | NarrativeText | No special preparation is required prior to adminis- tration of balance and coordination tests. The patient may be asked to disrobe and put on an examination gown to make it easier for the doctor to observe muscles and reflex responses. | No
9733 | Title | Aftercare | No
9734 | NarrativeText | No special aftercare is generally required, however, some of the tests may cause episodes of dizziness or incoordination. Patients may need to use caution in returning to normal activities if they are experiencing any symptoms of dizziness, lightheadedness, or weakness. | No
9735 | Title | Risks | No
9736 | NarrativeText | These simple tests of balance and coordination are generally harmless. | No
9737 | Title | Normal results | No
9738 | NarrativeText | Under normal conditions, these test will not cause dizziness, loss of balance, or incoordination. | No
9739 | Title | Abnormal results | No
9740 | NarrativeText | The presence of dizziness, lightheadedness, loss of coordination, unusual eye movements, muscle weakness, or impaired reflexes are abnormal results and may indi- cate the problem causing the loss of balance or incoordi- nation. In some cases, additional testing may be needed to diagnose the cause of balance or coordination problems. | No
9741 | Title | Resources | No
9742 | Title | BOOKS | No
9743 | ListItem | Blakley, B. W., and M. E. Siegel. “Finding the Cause of Dizzi- ness and Vertigo.” In Feeling Dizzy: Understanding and Treating Dizziness, Vertigo, and Other Balancing Disor- ders. New York: Macmillan Publishing, 1995. | No
9744 | ListItem | “Clinical Evaluation of Complaints Referable to the Ears.” In The Merck Manual. 16th ed. Ed. Robert Berkow. Rahway, NJ: Merck & Co., Inc., 1992. | No
9745 | ListItem | Shaw, Michael, ed. Everything You Need to Know About Dis- eases. Springhouse, PA: Springhouse Corporation, 1996. | No
9746 | Title | PERODCALS | No
9747 | NarrativeText | Bowen, J. “Dizziness: A Diagnostic Puzzle.” Hospital Medi- cine 34, no. 1 (1998): 39-44. | No
9748 | Title | ORGANZATONS | No
9749 | ListItem | American Academy of Otolaryngology-Head and Neck Surgery, Inc. One Prince St., Alexandria VA 22314-3357. (703) 836-4444. <http://www.entnet.org>. | No
9750 | ListItem | Ear Foundation. 1817 Patterson St., Nashville, TN 37203. (800) 545-4327. <http://www.earfoundation.org>. | No
9751 | ListItem | Vestibular Disorders Association (VEDA). P.O. Box 4467, Portland, OR 97208-4467. (800) 837-8428 or (503) 229- 7705 (phone); (503) 229-8064 (FAX). | No
9752 | NarrativeText | Altha Roberts Edgren | No
9754 | Title | Definition | No
9755 | NarrativeText | Balanitis is an inflammation of the head and fore- skin of the penis. | No
9756 | Title | Description | No
9757 | NarrativeText | Balanitis generally affects uncircumcised males. These are men who have a foreskin, which is the “hood” of soft skin that partially covers the head of the penis. In balanitis, the head and foreskin become red and inflamed. (In circum- cised men, who lack a foreskin, these symptoms only affect the tip of the penis.) The condition often occurs due to the fungus Candida albicans, the same organism that causes vaginal yeast infections in women. Balanitis (which is also referred to as balanoposthitis) can be caused by a variety of other fungal or bacterial infections, or may occur due to a sensitivity reaction to common chemical agents. | No
9758 | NarrativeText | Uncircumcised men are more at risk for balanitis due to the presence of the foreskin. The snug fit of the foreskin around the top of the penis tends to create a damp, warm environment that encourages the growth of microorganisms. Most of the organisms associated with balanitis are already present on the penis, but in very small numbers. However, if the area between the head and foreskin is not cleansed thoroughly on a regular basis, these organisms can multiply and lead to infection. | No
9759 | NarrativeText | Diabetes can increase the risk of developing the con- dition. | No
9760 | Title | Causes and symptoms | No
9761 | NarrativeText | Balanitis is usually a result of poor hygiene—for example, neglecting to bathe for several days. A failure to properly wash (or rinse) the area between the head and foreskin can lead to the development of fungal or bacteri- al infections that cause the condition. In other cases, bal- anitis may occur due to an allergic reaction: Some men may be sensitive to chemicals found in harsh soaps, laun- dry detergents, or contraceptive creams. Men who con- tract a sexually transmitted disease (STD) such as trichimoniasis may also develop symptoms. | No
9762 | NarrativeText | The symptoms of balanitis are limited to the fore- skin and head of the penis (in circumcised men, only the head is affected). These include redness, inflammation, pain, discharge, sore or itchy skin, and difficulty retract- ing the foreskin. | No
9763 | Title | Diagnosis | No
9764 | NarrativeText | Balanitis is usually diagnosed based on a brief physi- cal examination. This may be conducted by your regular health care provider or by a urologist, the type of doctor who specializes in such disorders. The doctor may take a sample of the discharge (if any) to determine the nature of the possible infection. A urine test may be recommended to evaluate glucose (sugar) levels in the urine. Balanitis treatment is typically covered by medical insurance. | No
9765 | Title | Treatment | No
9766 | NarrativeText | The treatment of balanitis depends on the specific cause, which can vary from case to case. Antibiotics are used to treat bacterial infections, while topical antifun- gals such as clotrimazole can combat balanitis caused by Candida. If an allergic reaction is causing symptoms, the goal is to identify the chemical agent responsible. Oint- ments or creams may be used to ease skin irritation. | No
9767 | NarrativeText | No matter what the cause, it is important to thor- oughly clean the penis on a daily basis in order to allevi- ate symptoms. If the condition keeps occurring, or if the inflammation is interfering with urination, circumcision may be advised. | No
9768 | Title | Alternative treatment | No
9769 | NarrativeText | According to practitioners of alternative medicine, certain herbs may be effective in controlling or prevent- ing yeast infections—a common cause of balanitis. These remedies include garlic, calendula, and gold- enseal. Eating yogurt that contains acidophilus may also help to clear up a Candida infection. | No
9770 | Title | Prognosis | No
9771 | NarrativeText | Most cases go away quickly once the cause is identi- fied and treated. However, regular bouts of balanitis can result in urethral stricture. | No
9772 | Title | 440 | No
9773 | Title | KEY TERMS | No
9774 | NarrativeText | Acidophilus—A bacteria believed to combat yeast infections. | No
9775 | NarrativeText | Circumcision—The surgical removal of the fore- skin. | No
9776 | NarrativeText | Urethral stricture—A narrowing of the urethra (urine tube). | No
9777 | Title | Prevention | No
9778 | NarrativeText | Proper hygiene is the best way to avoid balanitis. Circumcision is sometimes performed to prevent repeat- ed cases. | No
9779 | Title | Resources | No
9780 | Title | BOOKS | No
9781 | NarrativeText | Smith, Donald R. Smith's General Urology. 14th ed. Norwalk, CT: Appleton & Lange, 1995. | No
9782 | ListItem | Tierney, Lawrence M., et al. Current Medical Diagnosis and Treatment McGraw-Hill, 2000. | No
9783 | Title | PERODCALS | No
9784 | NarrativeText | Edwards S. “Balanitis and balanoposthitis: a review.” Geni- tourinary Medicine 72 (June 1996): 155-9. | No
9785 | ListItem | Mayser, P. “Mycotic infections of the penis.” Andrologia 31 Suppl 1 (1999): 13-6. | No
9786 | Title | ORGANZATONS | No
9787 | ListItem | U.S. National Library of Medicine. 8600 Rockville Pike, Bethes- da, MD 20894. (888) 346-3656. <http://www.nlm.nih.gov>. | No
9788 | NarrativeText | Greg Annussek | No
9790 | Title | Definition | No
9791 | NarrativeText | Balantidiasis is an infectious disease produced by a single-celled microorganism (protozoan) called Balan- tidium coli that infects the digestive tract. It is primarily a disease of the tropics, although it is also found in cooler, temperate climates. Most persons with balantidiasis do not exhibit any noticeable symptoms (asymptomatic), but a few individuals will develop diarrhea with blood and mucus and an inflamed colon (colitis). | No
9792 | Title | Description | No
9793 | NarrativeText | Balantidiasis is caused by Balantidium coli, a para- sitic protozoan that infects the large intestine. B. coli is the largest and only protozoan, having cilia or hair-like structures, that is capable of causing disease in humans. Balantidiasis occurs most commonly in areas with poor sanitation and in settings where humans live in close contact with pigs, sheep, or goats. | No
9794 | Title | Causes and symptoms | No
9795 | NarrativeText | Balantidiasis is transmitted primarily by eating food or drinking water that has been contaminated by human or animal feces containing B. coli cysts. During its life cycle, this organism exists in two very different forms: the infective cyst or capsuled form, which cannot move but can survive outside the human body because of its thick, protective covering; and the disease-producing form, the trophozoite, which although capable of moving, cannot survive once excreted in the feces and, therefore, cannot infect others. In the digestive tract, the cysts are transport- ed to the intestine where the walls of the cysts are broken open by digestive secretions, releasing the mobile tropho- zoites. Once released within the intestine, the tropho- zoites multiply by feeding on intestinal bacteria or by invading the lining of the large intestine. Within the lining of the large intestine, the trophozoites secrete a substance that destroys intestinal tissue and creates sores (ulcers) or abscesses. Trophozoites eventually form new cysts that are carried through the digestive tract and excreted in the feces. Under favorable temperature and humidity condi- tions, the cysts can survive in soil or water for weeks to months, ready to begin the cycle again. | No
9796 | NarrativeText | Most individuals with balantidiasis have no notice- able symptoms. Even though these individuals may not feel ill, they are still capable of infecting others by per- son-to-person contact or by contaminating food or water with cysts that others may ingest, for example, by prepar- ing food with unwashed hands. | No
9797 | NarrativeText | The most common symptoms of balantidiasis are chronic diarrhea or severe colitis with abdominal cramps, pain, and bloody stools. Complications may include intestinal perforation in which the intestinal wall becomes torn, but the organisms do not spread to other parts of the body in the blood stream. | No
9798 | Title | Diagnosis | No
9799 | NarrativeText | Diagnosis of balantidiasis, as with other similar dis- eases, can be complicated, partly because symptoms may or may not be present. A diagnosis of balantidiasis may be considered when a patient has diarrhea combined with a possible history of recent exposure to amebiasis through travel, contact with infected persons, or anal intercourse. | No
9800 | NarrativeText | Specifically, a diagnosis of balantidiasis is made by finding B. coli cysts or trophozoites in the patient’s stools or by finding trophozoites in tissue samples (biopsy) taken from the large bowel. A diagnostic blood test has not yet been developed. | No
9801 | Title | Stool examination | No
9802 | NarrativeText | This test involves microscopically examining a stool sample for the presence of cysts and/or trophozoites of B. coli. | No
9803 | Title | Sigmoidoscopy | No
9804 | NarrativeText | To take a tissue sample from the large intestine, a procedure called a sigmoidoscopy is performed. During a sigmoidoscopy, a thin, flexible instrument is used to visually examine the intestinal lining and obtain small tissue specimens. | No
9805 | Title | Treatment | No
9806 | NarrativeText | Patients with balantidiasis are treated with prescrip- tion medication, typically consisting of a ten day course of either tetracycline or metronidazole. Alternative drugs that have proven effective in treating balantidiasis include iodoquinol or paromomycin. | No
9807 | Title | Prognosis | No
9808 | NarrativeText | Although somewhat dependent on the patient’s over- all health, in general, the prognosis for most patients with balantidiasis is good. Severely infected patients occa- sionally die as a result of a tear in the intestinal wall (intestinal perforation) and consequent loss of blood. | No
9809 | Title | Prevention | No
9810 | NarrativeText | There are no immunization procedures or medica- tions that can be taken prior to potential exposure to pre- vent balantidiasis. Moreover, people who have had the disease can become reinfected. Prevention requires effec- tive personal and community hygiene. Specific safe- guards include the following: + Purification of drinking water. Water can be purified by filtering, boiling, or treatment with iodine. | No
9811 | ListItem | * Proper food handling. Measures include protecting food from contamination by flies, cooking food proper- ly, washing one’s hands after using the bathroom and before cooking or eating, and avoiding foods that can- not be cooked or peeled when traveling in countries with high rates of balantidiasis. | No
9812 | ListItem | * Careful disposal of human feces. | No
9813 | ListItem | * Monitoring the contacts of balantidiasis patients. The stools of family members and sexual partners of infect- ed persons should be tested for the presence of cysts or trophozoites. | No
9814 | Title | 441 | No
9815 | Title | KEY TERMS | No
9816 | NarrativeText | Asymptomatic—Persons who carry a disease and are usually capable of transmitting the disease but who do not exhibit symptoms of the disease are said to be asymptomatic. | No
9817 | NarrativeText | Biopsy—The removal of a tissue sample for diag- nostic purposes. | No
9818 | NarrativeText | Ciliated—Covered with short, hair-like protru- sions, like B. coli and certain other protozoa. The cilia or hairs help the organism to move. | No
9819 | NarrativeText | Colitis—An inflammation of the large intestine that occurs in some cases of balantidiasis. It is marked by cramping pain and the passing of bloody mucus. | No
9820 | NarrativeText | Protozoan—A single-celled, usually microscopic organism, such as B. coli, that is eukaryotic and, therefore, different from bacteria (prokaryotic). | No
9821 | NarrativeText | Sigmoidoscopy—A procedure in which a thin, flexible, lighted instrument, called a sigmoido- scope, is used to visually examine the lower part of the large intestine. | No
9822 | Title | Resources | No
9823 | Title | BOOKS | No
9824 | ListItem | Goldsmith, Robert S. “Infectious Diseases: Protozoal & Helminthic.” In Current Medical Diagnosis and Treat- ment, 1998. 37th ed. Ed. Stephen McPhee, et al. Stam- ford: Appleton & Lange, 1997. | No
9825 | ListItem | Gumprecht, Jeffrey P., and Murray Wittner. “Other Intestinal Parasites.” In Current Diagnosis. Vol. 9. Ed. Rex B. Conn, et al. Philadelphia: W. B. Saunders Co., 1997. | No
9826 | ListItem | Weinberg, Adriana, and Myron J. Levin. “Infections: Parasitic & Mycotic.” In Current Pediatric Diagnosis & Treatment, ed. William W. Hay Jr., et al. Stamford: Appleton & Lange, 1997. | No
9827 | NarrativeText | Rebecca J. Frey Baldness see Alopecia | No
9828 | NarrativeText | Balloon angioplasty see Angioplasty | No
9830 | Title | Definition | No
9831 | NarrativeText | Balloon valvuloplasty is a procedure in which a nar- rowed heart valve is stretched open using a procedure that does not require open heart surgery. | No
9832 | Title | 442 | No
9833 | Title | Purpose | No
9834 | NarrativeText | There are four valves in the heart, which are located at the exit of each of the four chambers of the heart. They are called aortic valve, pulmonary valve, mitral valve, and tricuspid valve. The valves open and close to regu- late the blood flow from one chamber to the next. They are vital to the efficient functioning of the heart. | No
9835 | NarrativeText | In some people the valves are too narrow (a condi- tion called stenosis). Balloon valvuloplasty is performed on children and adults to improve valve function and blood flow by enlarging the valve opening. It is a treat- ment for aortic, mitral, and pulmonary stenosis. Balloon valvuloplasty has the best results as a treatment for nar- rowed pulmonary valves. Results in treating narrowing of the mitral valve are generally good. It is more difficult to perform and less successful in treating narrowing of the aortic valve. | No
9836 | Title | Description | No
9837 | NarrativeText | Balloon valvuloplasty is a procedure in which a thin tube (catheter) that has a small deflated balloon at the tip is inserted through the skin in the groin area into a blood vessel, and then is threaded up to the opening of the nar- rowed heart valve. The balloon is inflated, which stretch- es the valve open. This procedure cures many valve obstructions. It is also called balloon enlargement of a narrowed heart valve. | No
9838 | NarrativeText | The procedure is performed in a cardiac catheteriza- tion laboratory and takes up to four hours. The patient is usually awake, but is given local anesthesia to make the area where the catheter is inserted numb. After the site where the catheter will be inserted is prepared and anesthetized, the cardiologist inserts a catheter into the appropriate blood ves- sel, then passes a balloon-tipped catheter through the first catheter. Guided by a video monitor and an x ray, the physi- cian slowly threads the catheter into the heart. The deflated balloon is positioned in the valve opening, then is inflated repeatedly. The inflated balloon widens the valve’s opening by splitting the valve leaflets apart. Once the valve is widened, the balloon-tipped catheter is removed. The other catheter remains in place for 6 to 12 hours because in some cases the procedure must be repeated. | No
9839 | Title | Preparation | No
9840 | NarrativeText | For at least six hours before balloon valvuloplasty, the patient will have to avoid eating or drinking anything. An intravenous line is inserted so that medications can be administered. The patient’s groin area is shaved and cleaned with an antiseptic. About an hour before the pro- cedure, the patient is given an oral sedative such as diazepam (Valium). | No
9841 | Title | Aftercare | No
9842 | NarrativeText | After balloon valvuloplasty, the patient is sent to the recovery room for several hours, where he or she is moni- tored for vital signs (such as pulse and breathing) and heart sounds. An electrocardiogram, which is a record of the electrical impulses in the heart, is done. The leg in which the catheter was inserted is temporarily prevented from moving. The skin condition is monitored. The insertion site, which will be covered by a sandbag, is observed for bleeding until the catheter is removed. Intravenous fluids will be given to help eliminate the x-ray dye; intravenous blood thinners or other medications to dilate the coronary arteries may be given. Pain medication is available. | No
9843 | NarrativeText | For at least 30 minutes after removal of the catheter, direct pressure is applied to the site of insertion; after this a pressure dressing will be applied. Following discharge from the hospital, the patient can usually resume normal activities. After balloon valvuloplasty lifelong follow-up is necessary because valves sometimes degenerate or narrowing recurs, making surgery necessary. | No
9844 | Title | Risks | No
9845 | NarrativeText | Balloon valvuloplasty can have serious complica- tions. For example, the valve can become misshapen so that it doesn’t close completely, which makes the condi- tion worse. Embolism, where pieces of the valve break off and travel to the brain or the lungs, is another possible risk. If the procedure causes severe damage to the valve leaflets, immediate surgery is required. Less frequent complications are bleeding and hematoma (a local col- lection of clotted blood) at the puncture site, abnormal heart rhythms, reduced blood flow, heart attack, heart puncture, infection, and circulatory problems. | No
9846 | Title | Resources | No
9847 | Title | BOOKS | No
9848 | ListItem | “Balloon Valvuloplasty.” In Mayo Clinic Practice of Cardiolo- gy. 3rd ed. Ed. Emilio R. Giuliani, et al. St. Louis: Mosby, 1996. | No
9849 | ListItem | Texas Heart Institute. “Congenital Heart Disease” and “Dis- eases of the Heart Valves.” In Texas Heart Institute's Heart Owner's Handbook. New York: John Wiley & Sons, 1996. | No
9850 | ListItem | “Valvular Heart Disease” and “Pulmonary Stenosis.” In Current Medical Diagnosis and Treatment, 1998. 37th ed. Ed. Stephen McPhee, et al. Stamford: Appleton & Lange, 1997. | No
9851 | Title | PERODCALS | No
9852 | ListItem | Latson, Larry A. “Interventional Catheterization for Congenital Heart Disease-Limited ‘Surgery’ Without the Chest Scar.” Clinical Pediatrics 36 (Mar. 1997): 125. | No
9853 | Title | ORGANZATONS | No
9854 | NarrativeText | American Heart Association. 7320 Greenville Ave. Dallas, TX 75231. (214) 373-6300. <http://www.americanheart.org>. | No
9855 | Title | KEY TERMS | No
9856 | NarrativeText | Cardiac catheterization—A technique used to eval- uate the heart and fix certain problems. Catheteri- zation is far less invasive than traditional surgery. | No
9857 | NarrativeText | Stenosis—The narrowing of any valve, especially one of the heart valves or the opening into the pul- monary artery from the right ventricle. | No
9858 | NarrativeText | Valve—tTissue in the passageways between the heart’s upper and lower chambers that controls passage of blood and prevents regurgitation. | No
9859 | Title | OTHER | No
9860 | NarrativeText | “Congenital Heart Disease Treatments.” American Heart Associ- ation. 1997. 9 Apr. 1998 <http://www.americanheart.org>. | No
9861 | NarrativeText | Lori De Milto Bancroftian filariasis see Elephantiasis | No
9862 | NarrativeText | Bang’s disease see Brucellosis | No
9864 | Title | Definition | No
9865 | NarrativeText | A barbiturate-induced coma, or barb coma, is a tem- porary state of unconsciousness brought on by a con- trolled dose of a barbiturate drug, usually pentobarbital or thiopental. | No
9866 | Title | Purpose | No
9867 | NarrativeText | Barbiturate comas are used to protect the brain dur- ing major brain surgery, such as the removal of arteri- ovenous malformations or aneurysms. Coma may also be induced to control intracranial hypertension caused by brain injury. | No
9868 | Title | Precautions | No
9869 | NarrativeText | Barbiturate-induced comas are used when conven- tional therapy to reduce intracranial hypertension has failed. Barbiturate dosing is geared toward burst suppres- sion—that is, reducing brain activity as measured by electroencephalography. This reduction in brain activi- ty has to be balanced against the potential side effects of barbiturates, which include allergic reactions and effects on the cardiovascular system. | No
9870 | Title | KEY TERMS | No
9871 | NarrativeText | Aneurysm—A bulge or sack-like projection from a blood vessel. | No
9872 | NarrativeText | Arteriovenous malformation—An abnormal tan- gle of arteries and veins in which the arteries feed directly into the veins without a normal interven- ing capillary bed. | No
9873 | NarrativeText | Diuretic agent—A drug which increases urine out- put. | No
9874 | NarrativeText | Electroencephalography—tThe recording of elec- trical potentials produced by the brain. These potentials indicate brain activity. | No
9875 | NarrativeText | Hyperventilation—A respiratory therapy involving deeper and/or faster breathing to keep the carbon dioxide pressure in the blood below normal. | No
9876 | NarrativeText | Intracranial hypertension—Abnormally high blood pressure within the skull. | No
9877 | NarrativeText | Osmotherapy—tntravenous injection or oral administration of an agent that induces dehydra- tion. The goal of dehydration is to reduce the amount of accumulated fluid in the brain. | No
9878 | NarrativeText | Steroid—A type of drug used to reduce swelling. | No
9879 | Title | Description | No
9880 | NarrativeText | One of the greatest hazards associated with brain injury is intracranial hypertension. Brain injury may be caused by an accidental head injury or a medical condi- tion, such as stroke, tumor, or infection. When the brain is injured, fluids accumulate in the brain, causing it to swell. The skull does not allow for the expansion of the brain; in effect, the brain becomes compressed. | No
9881 | NarrativeText | If the pressure does not abate, oxygenated blood may not reach all areas of the brain. Also, the brain tissue may be forced against hard, bony edges on the interior of the skull. In either case, the brain tissue may die, causing permanent brain damage or death. | No
9882 | NarrativeText | Barbiturates reduce the metabolic rate of brain tis- sue, as well as the cerebral blood flow. With these reduc- tions, the blood vessels in the brain narrow, decreasing the amount of swelling in the brain. With the swelling relieved, the pressure decreases and some or all brain damage may be averted. | No
9883 | NarrativeText | Controversy exists, however, over the benefits of using barbiturates to control intracranial hypertension. Some studies have shown that barbiturate-induced coma can reduce intracranial hypertension but does not neces- sarily prevent brain damage. Furthermore, the reduction in intracranial hypertension may not be sustained. | No
9884 | Title | Preparation | No
9885 | NarrativeText | Inducing a barbiturate coma is usually kept in reserve for cases in which conventional treatments for controlling intracranial hypertension have failed. Before coma is induced, intracranial hypertension may be treated by hyperventilation; by facilitation of blood flow from the brain; by decompressive surgical proce- dures, such as draining excess fluids from under the skull or from the chambers within the brain (ventricles); or by drug therapy, including osmotherapy, diuretic agents, or steroids. | No
9886 | Title | Risks | No
9887 | NarrativeText | An estimated 25% of barbiturate-induced comas are accompanied by severe side effects. The side effects of barbiturates, especially the depressive effect on the car- diovascular system, can be too risky for some patients. Other side effects include impaired gastrointestinal motility and impaired immune response and infection. Since barbiturates depress activity in the brain, measure- ments of brain activity may be unreliable. Careful moni- toring of the patient is required to ensure nutritional needs are being met and to guard against complications, such as lung infection, fevers, or deep vein blood clots. | No
9888 | Title | Normal results | No
9889 | NarrativeText | In many patients who do not respond to convention- al therapy, barbiturate-induced coma can achieve the necessary control of intracranial hypertension. | No
9890 | Title | Resources | No
9891 | Title | PERODCALS | No
9892 | ListItem | Lee, Michael W., et al. “The Efficacy of Barbiturate Coma in the Management of Uncontrolled Intracranial Hyperten- sion Following Neurosurgical Trauma.” Journal of Neuro- trauma 11, no. 3 (1994): 325. | No
9893 | ListItem | Myles, Geraldine L., et al. “Quantifying Nursing Care in Bar- biturate-Induced Coma with the Therapeutic Intervention Scoring System.” Journal of Neuroscience Nursing 27, no. 1 (1995): 35. | No
9894 | ListItem | Schwab, Stefan, et al. “Barbiturate Coma in Severe Hemispher- ic Stroke: Useful or Obsolete?” Neurology 48 (1997): 1608. | No
9895 | NarrativeText | Julia Barrett Barbiturate withdrawal see Withdrawal syndromes | No
9897 | Title | Definition | No
9898 | NarrativeText | Barbiturates are medicines that act on the central ner- vous system and cause drowsiness and can control seizures. | No
9899 | Title | Purpose | No
9900 | NarrativeText | Barbiturates are in the group of medicines known as central nervous system depressants (CNS). Also known as sedative-hypnotic drugs, barbiturates make people very relaxed, calm, and sleepy. These drugs are sometimes used to help patients relax before surgery. Some may also be used to control seizures (convulsions). Although barbi- turates have been used to treat nervousness and sleep problems, they have generally been replaced by other medicines for these purposes. | No
9901 | NarrativeText | These medicines may become habit forming and should not be used to relieve everyday anxiety and ten- sion or to treat sleeplessness over long periods. | No
9902 | Title | Description | No
9903 | NarrativeText | Barbiturates are available only with a physician’s prescription and are sold in capsule, tablet, liquid, and injectable forms. Some commonly used barbiturates are phenobarbital (Barbita) and secobarbital (Seconal). | No
9904 | Title | Recommended dosage | No
9905 | NarrativeText | Recommended dosage depends on the type of barbi- turate and other factors such as the patient’s age and the condition for which the medicine is being taken. Check with the physician who prescribed the drug or the phar- macist who filled the prescription for the correct dosage. | No
9906 | NarrativeText | Always take barbiturates exactly as directed. Never take larger or more frequent doses, and do not take the drug for longer than directed. If the medicine does not seem to be working, even after taking it for several weeks, do not increase the dosage. Instead, check with the physician who prescribed the medicine. | No
9907 | NarrativeText | Do not stop taking this medicine suddenly without first checking with the physician who prescribed it. It may be necessary to taper down gradually to reduce the chance of withdrawal symptoms. If it is necessary to stop taking the drug, check with the physician for instructions on how to stop. | No
9908 | Title | Precautions | No
9909 | NarrativeText | See a physician regularly while taking barbiturates. The physician will check to make sure the medicine is working as it should and will note unwanted side effects. | No
